id;numero_convenio;localidad;tutor
1;EXE index clicks-and-mortar;Monte parse;circuit override
2;Pelota world-class;Hormigon Métricas back-end;bifurcada payment Borders
3;SSL multi-byte Sabroso;auxiliary Ronda Valenciana;circuit Coordinador Ethiopian
4;producto Avon Verde;Datos navigate deposit;driver Madera
5;Dinar Account virtual;Cambridgeshire Marroquinería;Artesanal Account
6;Loan;niches Especialista;copy Blanco Dinánmico
7;Algodón Perseverando convergence;Armenia Paradigma;León e-tailers grow
8;Guapo digital;Avon Guantes;TCP Martinica
9;panel Uruguay;Inverso SSL synergistic;Senior cutting-edge Negro
10;Práctico;Taiwan Web;Informática input Ladrillo
